sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
26448942416,2020-03-23T07:24:00Z,74,20,21,33,57,55,0.1033434650455927
26435893686,2020-03-22T08:48:30Z,85,20,22,43,86,58,0.09047237790232186
26423491172,2020-03-21T08:26:00Z,69,20,12,37,76,55,0.09378806333739342
26410612004,2020-03-20T07:36:00Z,78,21,21,36,55,55,0.095
26388873773,2020-03-19T07:54:30Z,79,21,21,37,99,55,0.11160220994475138
26381516258,2020-03-18T07:30:30Z,71,21,20,30,57,55,0.11372064276885044
26366097409,2020-03-17T07:44:30Z,74,21,21,32,67,55,0.12285336856010567
26339077350,2020-03-15T08:20:30Z,80,19,21,40,74,56,0.09448818897637795
26326378898,2020-03-14T08:39:30Z,85,20,21,44,53,59,0.0842745438748914
26312841138,2020-03-13T07:18:00Z,76,22,18,36,86,57,0.10118406889128095
26296931269,2020-03-12T07:29:30Z,81,18,23,40,79,59,0.0877025738798856
26283617184,2020-03-11T07:46:00Z,66,20,15,31,37,57,0.05975395430579965
26267746787,2020-03-10T07:21:30Z,77,21,21,35,75,59,0.13566289825282632
26248509153,2020-03-09T07:28:00Z,74,21,13,40,59,57,0.13128205128205128
26237221476,2020-03-08T06:51:00Z,71,18,21,32,46,57,0.08578143360752057
26225748103,2020-03-07T08:42:30Z,85,19,22,44,62,58,0.10353753235547886
26211958459,2020-03-06T07:40:00Z,74,18,19,37,40,56,0.07337278106508875
26197254849,2020-03-05T06:02:00Z,85,21,22,42,43,56,0.07659115426105717
26181035493,2020-03-04T06:26:30Z,75,18,16,41,77,54,0.09013785790031813
26166540353,2020-03-03T05:24:00Z,77,20,21,36,53,54,0.08799048751486326
26151465957,2020-03-02T06:41:30Z,76,20,22,34,59,57,0.09438470728793309
26138346005,2020-03-01T08:03:30Z,92,24,23,45,141,59,0.0766501064584812
26123224576,2020-02-29T05:08:00Z,56,15,13,28,38,57,0.068762278978389
26112936308,2020-02-28T06:51:30Z,76,20,22,34,75,58,0.1079607415485278
26097634295,2020-02-27T08:06:30Z,88,21,21,46,66,57,0.07017543859649122
26081454588,2020-02-26T06:44:30Z,66,21,14,31,56,55,0.06260296540362438
26065485469,2020-02-25T06:08:00Z,75,17,23,35,24,56,0.08628005657708628
26049381132,2020-02-24T06:40:30Z,82,21,22,39,42,58,0.07590759075907591
26035594656,2020-02-23T07:52:00Z,91,23,22,46,109,59,0.0725883476599809
26023770590,2020-02-22T09:16:30Z,84,22,18,44,86,58,0.09920283436669619
26009621466,2020-02-21T06:49:30Z,79,21,19,39,70,56,0.0830367734282325
25991159845,2020-02-20T06:57:30Z,81,17,20,44,49,56,0.09662716499544212
25955372466,2020-02-18T06:33:30Z,80,18,23,39,82,59,0.07203907203907203
25939949424,2020-02-17T06:33:30Z,90,21,23,46,84,60,0.07027540360873694
25924361303,2020-02-16T04:58:00Z,65,16,21,28,37,59,0.08985024958402663
25914678746,2020-02-15T09:42:00Z,64,18,12,34,89,57,0.08930669800235018
25903238339,2020-02-14T07:05:30Z,77,21,21,35,43,57,0.09752925877763328
25886304796,2020-02-13T06:57:30Z,83,19,22,42,44,58,0.0581270182992465
25872963381,2020-02-12T07:09:00Z,77,19,19,39,42,57,0.08725602755453502
25859018424,2020-02-11T05:58:00Z,80,21,22,37,55,59,0.09221902017291066
25832040571,2020-02-09T07:36:00Z,67,21,12,34,49,58,0.08057553956834532
25819536942,2020-02-08T08:27:00Z,66,16,13,37,38,56,0.05585106382978723
25806090070,2020-02-07T08:03:30Z,81,20,21,40,58,57,0.10164569215876089
25789507475,2020-02-06T06:54:30Z,80,20,22,38,32,58,0.07169344870210136
25773371775,2020-02-05T07:01:30Z,77,21,20,36,46,57,0.09513023782559456
25757774160,2020-02-04T06:46:30Z,80,21,23,36,48,58,0.0754226267880364
25744871479,2020-02-03T06:36:30Z,83,21,21,41,46,60,0.09558067831449127
25732307460,2020-02-02T09:14:30Z,75,21,13,41,60,58,0.08611955420466058
25717261048,2020-02-01T08:06:30Z,61,21,14,26,50,56,0.057815845824411134
25705063495,2020-01-31T07:05:30Z,77,20,22,35,55,58,0.09036860879904875
25683081586,2020-01-30T07:05:30Z,80,22,20,38,87,56,0.06649282920469361
25659267354,2020-01-29T06:44:00Z,80,21,22,37,39,57,0.09189842805320435
25645144197,2020-01-28T06:42:30Z,80,21,21,38,49,58,0.09344790547798067
25626766594,2020-01-27T05:42:30Z,74,21,22,31,43,60,0.09043250327653997
25614466946,2020-01-26T09:27:00Z,89,21,23,45,39,62,0.06359300476947535
25597644310,2020-01-25T05:12:00Z,74,21,19,34,46,62,0.11420204978038068
25586351546,2020-01-24T06:27:30Z,78,21,22,35,50,63,0.1016949152542373
